variable,horizon,beta,ci_lo_90,ci_hi_90
IT_IP,0,0.2163773535723903,-0.17216977597193595,0.6049244831167165
IT_IP,1,0.3452429392901832,-0.07941488300143551,0.7699007615818019
IT_IP,2,1.1056706563682621,-0.18206148677842848,2.393402799514953
IT_IP,3,0.8468320154045141,-0.3950401995354931,2.088704230344521
IT_IP,4,-0.33152256292161514,-1.5107277142588809,0.8476825884156505
IT_IP,5,-0.7417572884241623,-2.446360812022093,0.9628462351737683
IT_IP,6,-0.10931430058754266,-1.1146058100445688,0.8959772088694836
IT_IP,7,0.7669799193222924,-0.23112264939966964,1.7650824880442544
IT_IP,8,1.2266077478003465,-0.13776850390371775,2.590983999504411
IT_IP,9,1.3312399067024046,-0.6992099275752792,3.361689740980088
IT_IP,10,0.9981627709839307,-0.3248304213753912,2.3211559633432524
IT_IP,11,-0.11869556047379395,-1.3012706712311666,1.0638795502835785
IT_IP,12,-0.3851719893298522,-1.4579889612259458,0.6876449825662414
IT_IP,13,0.30550167972692854,-0.541603002869472,1.1526063623233291
IT_IP,14,0.8779651647575694,-0.3874664872829138,2.1433968167980524
IT_IP,15,0.2224569061414055,-0.2833731714983971,0.728286983781208
IT_IP,16,0.07050669419915309,-0.5815891567823085,0.7226025451806147
IT_IP,17,0.2563585481915682,-0.16901076019791372,0.6817278565810502
IT_IP,18,0.15862968839487918,-0.4322588530221632,0.7495182298119216
IT_IP,19,0.3333241007233795,-0.39973673774704654,1.0663849391938056
IT_IP,20,0.15726421238739413,-0.4632550862559382,0.7777835110307265
IT_IP,21,0.5289329099965321,-0.2498787096667885,1.3077445296598527
IT_IP,22,0.7870668747880823,-0.03581113033869188,1.6099448799148566
IT_IP,23,0.47692252085434883,-0.1966416583387437,1.1504867000474412
IT_IP,24,0.3386884467123925,-0.6051096406822946,1.2824865341070795
FR_IP,0,0.17850345323905228,-0.12423906784404429,0.4812459743221489
FR_IP,1,0.16040677120422606,-0.06712281115051003,0.38793635355896217
FR_IP,2,0.5442240049750398,-0.26116670425400235,1.349614714204082
FR_IP,3,0.6313055908027706,-0.4330856822920265,1.6956968638975676
FR_IP,4,0.08012392148489629,-0.5992342637502153,0.7594821067200079
FR_IP,5,-0.5318734815373102,-1.784151005470544,0.7204040423959236
FR_IP,6,-0.3210959660571909,-1.183150298398779,0.5409583662843971
FR_IP,7,0.34474583777102225,-0.42919440608081755,1.118686081622862
FR_IP,8,0.7081364217127005,-0.3006918453280282,1.7169646887534293
FR_IP,9,0.9354688821602217,-0.48227277613585295,2.3532105404562964
FR_IP,10,0.8434065633257387,-0.33299672541567416,2.0198098520671515
FR_IP,11,0.04243125127743619,-0.6235789011070269,0.7084414036618992
FR_IP,12,-0.3470051920876304,-1.2159031096177952,0.5218927254425345
FR_IP,13,0.11901247148158234,-0.44581948651699876,0.6838444294801634
FR_IP,14,0.8233660507219563,-0.1262060652098519,1.7729381666537645
FR_IP,15,0.12063230696093402,-0.35875324929404834,0.6000178632159163
FR_IP,16,-0.13827096500661692,-0.6278748434267329,0.35133291341349904
FR_IP,17,0.23978861718230154,-0.1811049814092779,0.660682215773881
FR_IP,18,0.31328487944088956,-0.21022726090288057,0.8367970197846597
FR_IP,19,0.47864986234837026,0.05825085608024605,0.8990488686164945
FR_IP,20,0.3655497858532769,-0.053477167326418606,0.7845767390329724
FR_IP,21,0.3660109442675443,-0.13152240415077554,0.8635442926858642
FR_IP,22,0.5985695507811398,-0.023832824247992823,1.2209719258102725
FR_IP,23,0.5195757177423987,-0.0621205988109077,1.1012720342957052
FR_IP,24,0.5376121711612636,-0.28374872723181976,1.358973069554347
IT_GAS_ELEC,0,888.0063690408455,-1729.5876310855215,3505.6003691672126
IT_GAS_ELEC,1,-985.5594569572521,-4215.473010419224,2244.3540965047196
IT_GAS_ELEC,2,2950.2144368544677,310.23986494524615,5590.189008763689
IT_GAS_ELEC,3,4004.9389693822986,1685.7174352207649,6324.160503543832
IT_GAS_ELEC,4,591.8369669111952,-1621.7412459638217,2805.4151797862123
IT_GAS_ELEC,5,-2851.585828802232,-5345.836097857361,-357.3355597471027
IT_GAS_ELEC,6,-2038.7198622446797,-4990.958608508325,913.5188840189655
IT_GAS_ELEC,7,-241.50836878699886,-2751.171514842344,2268.1547772683466
IT_GAS_ELEC,8,903.5299783412704,-1202.99408781726,3010.0540444998005
IT_GAS_ELEC,9,1352.6402901868382,-890.8076247053627,3596.088205079039
IT_GAS_ELEC,10,935.578989081965,-922.4998632174273,2793.6578413813572
IT_GAS_ELEC,11,-1510.896974144553,-3340.8321913885775,319.0382430994712
IT_GAS_ELEC,12,-1036.917652430428,-3847.8091527726556,1773.9738479117996
IT_GAS_ELEC,13,-407.8951456847031,-5595.791162105779,4780.000870736372
IT_GAS_ELEC,14,2679.5410114518454,-1021.7630072788847,6380.845030182576
IT_GAS_ELEC,15,3027.7601423075575,623.5412310947313,5431.979053520384
IT_GAS_ELEC,16,883.9919783651334,-989.0976446297162,2757.081601359983
IT_GAS_ELEC,17,-2435.347694198841,-4231.766613171435,-638.9287752262471
IT_GAS_ELEC,18,-2594.7030429924052,-5060.767303808731,-128.63878217607908
IT_GAS_ELEC,19,-730.5878093742524,-2835.3552054748525,1374.179586726348
IT_GAS_ELEC,20,1157.166402509307,-1779.8266840531885,4094.1594890718025
IT_GAS_ELEC,21,1169.4998513988107,-455.2567106026984,2794.2564134003196
IT_GAS_ELEC,22,1167.7117000102185,-1361.4375528385758,3696.8609528590127
IT_GAS_ELEC,23,111.03046885438891,-1959.0714807315794,2181.132418440357
IT_GAS_ELEC,24,166.43387060726027,-3551.1352656488225,3884.003006863343
